Days,Show (MG8),Media Views,Play Duration - Decimal (minutes),Media Views
2021-01-06,Wilder,31027,940213,31027
2021-01-05,Wilder,29802,707376,29802
2021-01-07,Wilder,23424,788830,23424
2021-01-08,Wilder,18462,649193,18462
2021-01-09,Wilder,18016,633473,18016
2021-01-10,Wilder,16736,582011,16736
2021-01-12,Wilder,15012,443250,15012
2021-01-13,Wilder,13446,418017,13446
2021-01-11,Wilder,11925,396950,11925
2021-01-14,Wilder,10687,347269,10687
2021-01-17,Wilder,10434,353240,10434
2021-01-16,Wilder,10310,342560,10310
2021-01-19,Wilder,9791,297732,9791
2021-01-15,Wilder,9466,319411,9466
2020-11-08,Frieden,8745,181197,8745
2020-11-09,Frieden,8485,177351,8485
2020-11-10,Frieden,7774,175234,7774
2021-01-20,Wilder,7751,240102,7751
2021-01-26,Wilder,7322,205516,7322
2021-01-18,Wilder,6942,233563,6942
2021-02-02,Wilder,6904,179191,6904
2021-01-27,Wilder,6687,184950,6687
2021-01-23,Wilder,6601,222003,6601
2021-01-21,Wilder,6567,212704,6567
2020-11-07,Frieden,6485,103018,6485
2021-01-22,Wilder,6042,197025,6042
2020-11-11,Frieden,6017,143876,6017
2021-01-24,Wilder,5866,201234,5866
2021-01-28,Wilder,5034,153725,5034
2021-01-31,Wilder,5010,171287,5010
2021-02-03,Wilder,4887,136486,4887
2021-01-30,Wilder,4819,160485,4819
2021-01-04,Wilder,4806,125352,4806
2021-01-25,Wilder,4611,154130,4611
2021-01-29,Wilder,4601,151183,4601
2020-11-12,Frieden,4591,104629,4591
2020-11-15,Frieden,4563,102813,4563
2020-11-14,Frieden,4512,103412,4512
2020-11-13,Frieden,4361,93174,4361
2021-02-07,Wilder,4026,133599,4026
2020-12-05,Cellule de crise,3860,107257,3860
2021-02-01,Wilder,3650,119368,3650
2020-12-06,Cellule de crise,3645,96673,3645
2020-12-26,Nacht in der Schweiz,3517,93758,3517
2020-11-16,Frieden,3349,71417,3349
2021-02-09,Wilder,3162,94873,3162
2021-02-06,Wilder,3126,103968,3126
2021-02-04,Wilder,3106,92750,3106
2020-12-04,Cellule de crise,2934,85447,2934
2021-02-05,Wilder,2911,84956,2911
2021-02-08,Wilder,2691,83708,2691
2021-01-03,Wilder,2564,81122,2564
2020-12-03,Cellule de crise,2486,70349,2486
2020-11-17,Frieden,2333,54142,2333
2020-11-18,Frieden,2230,51890,2230
2020-12-12,Cellule de crise,2217,59308,2217
2020-12-07,Cellule de crise,2204,61348,2204
2021-02-10,Wilder,2190,70809,2190
2021-02-14,Wilder,2180,65838,2180
2021-01-02,Wilder,2081,67876,2081
2020-12-11,Cellule de crise,2065,50249,2065
2020-11-21,Frieden,1978,46951,1978
2021-02-13,Wilder,1976,62072,1976
2020-12-09,Cellule de crise,1950,45448,1950
2020-11-22,Frieden,1909,47671,1909
2021-02-12,Wilder,1854,60087,1854
2020-12-02,Cellule de crise,1844,49403,1844
2020-12-08,Cellule de crise,1817,49534,1817
2020-12-27,Nacht in der Schweiz,1792,39116,1792
2020-11-19,Frieden,1789,39376,1789
2021-02-11,Wilder,1748,56323,1748
2021-01-03,Der Bestatter,1745,64793,1745
2020-12-13,Cellule de crise,1708,48186,1708
2021-01-01,Wilder,1681,58571,1681
2021-02-27,Wilder,1654,44674,1654
2021-02-21,Wilder,1645,47067,1645
2021-02-28,Wilder,1640,46696,1640
2021-02-22,Wilder,1594,41535,1594
2021-01-02,Der Bestatter,1586,59469,1586
2020-12-28,Der Bestatter,1563,52848,1563
2021-02-16,Wilder,1563,49464,1563
2021-01-01,Der Bestatter,1557,58463,1557
2021-01-05,Der Bestatter,1555,47522,1555
2021-02-23,Wilder,1552,41947,1552
2020-11-29,Advent; Advent,1549,12889,1549
2020-11-20,Frieden,1535,35759,1535
2021-01-17,Der Bestatter,1532,57878,1532
2021-02-15,Wilder,1519,48611,1519
2020-12-19,Cellule de crise,1504,38014,1504
2020-12-27,Der Bestatter,1496,53373,1496
2020-12-13,Metta da fein,1490,21422,1490
2021-02-20,Wilder,1485,43926,1485
2020-12-28,Wilder,1472,43874,1472
2021-02-19,Wilder,1460,43714,1460
2021-03-07,Wilder,1450,38746,1450
2021-02-18,Wilder,1447,40842,1447
2021-02-17,Wilder,1431,41944,1431
2021-01-06,Der Bestatter,1420,46084,1420
2020-12-20,Advent; Advent,1415,20102,1415
2020-12-26,Der Bestatter,1388,46052,1388
2020-12-13,Advent; Advent,1378,16881,1378
2020-12-20,Cellule de crise,1364,34791,1364
2020-12-10,Cellule de crise,1354,39283,1354
2021-02-28,Tatort – Schoggiläbe,1353,50188,1353
2020-12-29,Wilder,1348,44062,1348
2020-12-29,Der Bestatter,1339,45303,1339
2021-01-10,Der Bestatter,1336,52115,1336
2021-02-24,Wilder,1336,36347,1336
2020-12-30,Wilder,1331,40416,1331
2021-01-04,Der Bestatter,1324,46876,1324
2021-02-26,Wilder,1309,34415,1309
2020-12-30,Der Bestatter,1307,45565,1307
2021-02-06,Das Fräuleinwunder,1305,27624,1305
2021-03-14,Wilder,1301,33777,1301
2020-12-13,Der Bestatter,1300,43055,1300
2020-12-06,Der Bestatter,1283,43108,1283
2020-12-20,Der Bestatter,1268,45306,1268
2021-03-05,Wilder,1260,30165,1260
2020-12-27,Wilder,1252,42770,1252
2020-12-15,Cellule de crise,1241,29826,1241
2021-02-07,Das Fräuleinwunder,1239,33892,1239
2021-01-16,Der Bestatter,1234,47718,1234
2020-12-28,Nacht in der Schweiz,1227,23740,1227
2021-01-09,Der Bestatter,1225,48760,1225
2021-03-13,Liebe und andere Unfälle,1224,34725,1224
2020-11-15,Seitentriebe,1219,13387,1219
2021-01-31,Der Bestatter,1211,47564,1211
2021-03-01,Wilder,1192,32328,1192
2021-03-07,Der Bestatter,1184,27991,1184
2021-03-13,Wilder,1182,31850,1182
2021-02-25,Wilder,1181,32486,1181
2021-03-06,Wilder,1179,30490,1179
2021-01-30,La grande histoire du ski,1176,12482,1176
2021-01-07,Der Bestatter,1170,42624,1170
2020-12-14,Cellule de crise,1145,31386,1145
2020-11-08,Wilder,1133,23287,1133
2020-12-21,Cellule de crise,1129,26480,1129
2021-01-11,Der Bestatter,1125,44279,1125
2021-01-08,Der Bestatter,1123,43540,1123
2021-02-13,Die göttliche Ordnung,1122,20061,1122
